Table 3-6 ,"Senate Campaign Expenditures: Incumbents and Challengers, Major Party General Election Candidates by Election Outcome, 1980-2018 (full cycle)",,,,,,,,,,,,,,,,,,,,,,,,,,,
  Republicans,"8,939,564",,"4,231,491","4,607,884",,"10,834,841",,"13,252,917",,"3,670,049","10,196,540",,"5,938,651","3,731,479",0,"7,985,851","6,216,556","11,482,688","2,076,995","5,420,205","9,254,293","26,992,435","2,409,090","4,137,057","2,217,351","1,280,711","2,934,986","2,075,738"
,(n=11),,(n=1),(n=8),,(n=7),,(n=6),,(n=2),(n=3),,(n=3),(n=4),(n=0),(n=5),(n=5),(n=11),(n=4),(n=7),(n=4),(n=1),(n=4),(n=5),(n=4),(n=2),(n=1),(n=4)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incumbent was defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incumbents,"24,839,758",,"19,169,618","17,860,009",,"38,343,328",,"15,597,956",,"13,979,498","17,499,238",,"26,553,229","12,317,725","11,115,765","20,895,431","7,151,403","9,334,088","8,760,670","13,888,991","5,475,188","9,985,490","8,507,399","4,315,978","5,162,294","3,498,352","4,338,970","2,615,262"
,(n=5),,(n=1),(n=5),,(n=1),,(n=2),,(n=5),(n=6),,(n=1),(n=3),(n=6),(n=3),(n=1),(n=2),(n=4),(n=1),(n=4),(n=7),(n=3),(n=2),(n=9),(n=7),(n=9),(n=2)
  Democrats,"27,532,156",,NA,"17,860,009",,0,,"15,597,956",,NA,NA,,"26,553,229","14,942,440","9,930,906","10,983,408",NA,"9,334,088","6,714,383",NA,"2,841,398",NA,"5,752,596","4,228,595","5,162,294","2,612,768","3,151,861",NA
,(n=4),,(n=0),(n=5),,(n=0),,(n=2),,(n=0),(n=0),,(n=1),(n=2),(n=1),(n=1),(n=0),(n=2),(n=2),(n=0),(n=1),(n=0),(n=1),(n=1),(n=9),(n=5),(n=5),(n=0)
  Republicans,"14,070,168",,"19,169,618",#VALUE!,,"38,343,328",,0,,"13,979,498","17,499,238",,NA,"7,068,296","11,352,736","25,851,443","7,151,403",NA,"10,871,390","13,888,991","6,353,117","9,985,490","9,884,802","4,403,360",NA,"5,712,311","5,822,858","2,615,262"
,(n=1),,(n=1),(n=0),,(n=1),,(n=0),,(n=5),(n=6),,(n=0),(n=1),(n=5),(n=2),(n=1),(n=0),(n=2),(n=1),(n=3),(n=7),(n=2),(n=1),(n=0),(n=2),(n=4),(n=2)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Challengers,"30,685,592",,"19,423,018","12,602,534",,"46,166,919",,"10,616,824",,"11,474,878","12,505,364",,"19,487,933","6,558,010","15,337,775","21,954,638","4,786,163","13,767,063","7,240,995","2,652,397","5,341,250","7,097,959","7,410,375","2,063,821","4,167,035","3,535,733","3,461,623","3,461,579"
,(n=5),,(n=1),(n=5),,(n=1),,(n=2),,(n=5),(n=6),,(n=1),(n=3),(n=6),(n=3),(n=1),(n=2),(n=4),(n=1),(n=4),(n=7),(n=3),(n=2),(n=9),(n=7),(n=9),(n=2)
  Democrats,"26,079,221",,"19,423,018",NA,,"46,166,919",,0,,"11,474,878","12,505,364",,NA,"5,065,441","12,581,938","19,315,027","4,786,163",NA,"8,978,351","2,652,397","6,360,610","7,097,959","8,969,279","4,127,640",#VALUE!,"3,350,965","4,450,375","3,461,579"
,(n=1),,(n=1),(n=0),,(n=1),,(n=0),,(n=5),(n=6),,(n=0),(n=1),(n=5),(n=2),(n=1),(n=0),(n=2),(n=1),(n=3),(n=7),(n=2),(n=1),(n=0),(n=2),(n=4),(n=2)
  Republicans,"31,837,185",,NA,"12,602,534",,0,,"10,616,824",,NA,NA,,"19,487,933","7,304,295","29,116,952","27,233,861",NA,"13,767,063","5,503,639",NA,"2,283,165",NA,"4,292,571","2,553,217","4,167,035","3,609,640","2,670,618",NA
,(n=4),,(n=0),(n=5),,(n=0),,(n=2),,(n=0),(n=0),,(n=1),(n=2),(n=1),(n=1),(n=0),(n=2),(n=2),(n=0),(n=1),(n=0),(n=1),(n=1),(n=9),(n=5),(n=5),(n=0)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: The data include primary and general-election expenditures for major party general-election candidates only. The Federal Election Commission included the following disclaimer along with its 1986 data, and Vital Statistics considers it appropriate for all years: ""The small N's and unique nature of some Senate campaigns make all measures of central tendency like averages or medians problematic and, as a result, the Commission would not include tables such as these in its regular release of information."" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
a. Includes one or more Independents. Independents are included only if they are incumbents or winning non-incumbents.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b. Alan Schlesinger (CT-Rep) is not included in the data. He raised $221,019 and was third in the voting. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c. The Incumbents and Challengers in the category ""Incumbent won with < 60%"" are unbalanced due to the Alaska race which featured a Republican Incumbent and Challenger. The Democrat (McAdams) finished third and is not included. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Campaign Finance Institute analysis of Federal Election Commission data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
